Fpath,Labels,aux,
20190726_DATA/ZA-a_000/00000001.DCM,chest,,
20190726_DATA/ZA-a_000/00000002.DCM,chest,,
20190726_DATA/ZA-a_000/00000003.DCM,chest,,
20190726_DATA/ZA-a_000/00000004.DCM,chest,,
20190726_DATA/ZA-a_000/00000005.DCM,chest,,
20190726_DATA/ZA-a_000/00000006.DCM,chest,,
20190726_DATA/ZA-a_000/00000007.DCM,chest,,
20190726_DATA/ZA-a_000/00000008.DCM,chest,,
20190726_DATA/ZA-a_000/00000009.DCM,chest,,
20190726_DATA/ZA-a_000/00000010.DCM,chest,,
20190726_DATA/ZA-a_000/00000011.DCM,chest,,
20190726_DATA/ZA-a_000/00000012.DCM,chest,,
20190726_DATA/ZA-a_000/00000013.DCM,chest,,
20190726_DATA/ZA-a_000/00000014.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000015.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000016.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000017.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000018.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000019.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000020.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000021.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000022.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000023.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000024.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000025.DCM,chest;abd,,
20190726_DATA/ZA-a_000/00000026.DCM,abd,,
20190726_DATA/ZA-a_000/00000027.DCM,abd,,
20190726_DATA/ZA-a_000/00000028.DCM,abd,,
20190726_DATA/ZA-a_000/00000029.DCM,abd,,
20190726_DATA/ZA-a_000/00000030.DCM,abd,,
20190726_DATA/ZA-a_000/00000031.DCM,abd,,
20190726_DATA/ZA-a_000/00000032.DCM,abd,,
20190726_DATA/ZA-a_000/00000033.DCM,abd,,
20190726_DATA/ZA-a_000/00000034.DCM,abd,,
20190726_DATA/ZA-a_000/00000035.DCM,abd,,
20190726_DATA/ZA-a_000/00000036.DCM,abd,,
20190726_DATA/ZA-a_000/00000037.DCM,abd,,
20190726_DATA/ZA-a_000/00000038.DCM,abd,,
20190726_DATA/ZA-a_000/00000039.DCM,abd,,
20190726_DATA/ZA-a_000/00000040.DCM,abd,,
20190726_DATA/ZA-a_000/00000041.DCM,pelv,,
20190726_DATA/ZA-a_000/00000042.DCM,pelv,,
20190726_DATA/ZA-a_000/00000043.DCM,pelv,,
20190726_DATA/ZA-a_000/00000044.DCM,pelv,,
20190726_DATA/ZA-a_000/00000045.DCM,pelv,,
20190726_DATA/ZA-a_000/00000046.DCM,pelv,,
20190726_DATA/ZA-a_000/00000047.DCM,pelv,pbone,
20190726_DATA/ZA-a_000/00000048.DCM,pelv,,
20190726_DATA/ZA-a_000/00000049.DCM,pelv,,
20190726_DATA/ZA-a_000/00000050.DCM,pelv,,
20190726_DATA/ZA-a_000/00000051.DCM,pelv,,
20190726_DATA/ZA-a_000/00000052.DCM,pelv,,
20190726_DATA/ZA-a_000/00000053.DCM,pelv,,
20190726_DATA/ZA-a_000/00000054.DCM,pelv,,
20190726_DATA/ZA-a_000/00000055.DCM,pelv,,
20190726_DATA/ZA-a_000/00000056.DCM,pelv,,
20190726_DATA/ZA-a_000q/00000001.DCM,chest,,
20190726_DATA/ZA-a_000q/00000002.DCM,chest,,
20190726_DATA/ZA-a_000q/00000003.DCM,chest,,
20190726_DATA/ZA-a_000q/00000004.DCM,chest,,
20190726_DATA/ZA-a_000q/00000005.DCM,chest,,
20190726_DATA/ZA-a_000q/00000006.DCM,chest,,
